"           Janete Rocha Imóveis
           Last updated 2026-01-14 14:51",,,,,,,,,
Day,Event name,Session source / medium,Sessions,Total users,Active users,Engagement rate,Engaged sessions,Bounce rate,Sessions per user
2026-01-10,page_view,google / organic,1,1,1,1,1,0,1
2026-01-10,scroll,(direct) / (none),3,2,2,1,3,0,1.5
2026-01-10,scroll,google / organic,1,1,1,1,1,0,1
2026-01-10,session_start,(direct) / (none),3,2,2,1,3,0,1.5
2026-01-10,session_start,google / organic,1,1,1,1,1,0,1
2026-01-10,user_engagement,(direct) / (none),2,2,2,1,2,0,1
2026-01-11,click,(direct) / (none),1,1,1,1,1,0,1
2026-01-11,engaged_user,(direct) / (none),2,2,2,1,2,0,1
2026-01-11,engaged_user,google / organic,2,2,1,1,2,0,2
2026-01-11,first_visit,google / organic,1,1,1,1,1,0,1
2026-01-11,page_view,(direct) / (none),3,3,3,0.6666666667,2,0.3333333333,1
2026-01-11,page_view,google / organic,2,2,1,1,2,0,2
2026-01-11,scroll,(direct) / (none),3,3,3,0.6666666667,2,0.3333333333,1
2026-01-11,scroll,google / organic,2,2,1,1,2,0,2
2026-01-11,session_start,(direct) / (none),3,3,3,0.6666666667,2,0.3333333333,1
2026-01-11,session_start,google / organic,2,2,1,1,2,0,2
2026-01-11,social_click,(direct) / (none),1,1,1,1,1,0,1
2026-01-11,user_engagement,(direct) / (none),1,1,1,1,1,0,1
2026-01-11,user_engagement,google / organic,1,1,1,1,1,0,1
2026-01-12,engaged_user,(direct) / (none),2,2,2,1,2,0,1
2026-01-12,engaged_user,google / organic,1,1,1,1,1,0,1
2026-01-12,first_visit,(direct) / (none),22,22,22,0.9545454545,21,0.04545454545,1
2026-01-12,form_start,(direct) / (none),1,1,1,1,1,0,1
2026-01-12,form_submit,(direct) / (none),1,1,1,1,1,0,1
2026-01-12,page_view,(direct) / (none),23,23,23,0.9565217391,22,0.04347826087,1
2026-01-12,page_view,google / organic,1,1,1,1,1,0,1
2026-01-12,scroll,(direct) / (none),22,22,22,0.9545454545,21,0.04545454545,1
2026-01-12,scroll,google / organic,1,1,1,1,1,0,1
2026-01-12,session_start,(direct) / (none),23,23,23,0.9565217391,22,0.04347826087,1
2026-01-12,session_start,google / organic,1,1,1,1,1,0,1
2026-01-12,user_engagement,(direct) / (none),21,21,21,1,21,0,1
2026-01-12,user_engagement,google / organic,1,1,1,1,1,0,1
2026-01-13,engaged_user,(direct) / (none),9,7,7,0.8888888889,8,0.1111111111,1.285714286
2026-01-13,engaged_user,br.search.yahoo.com / referral,1,1,1,1,1,0,1
2026-01-13,engaged_user,google / organic,2,1,1,1,2,0,2
2026-01-13,first_visit,(direct) / (none),9,9,9,1,9,0,1
2026-01-13,first_visit,br.search.yahoo.com / referral,1,1,1,1,1,0,1
2026-01-13,page_view,(direct) / (none),17,14,13,0.8823529412,15,0.1176470588,1.307692308
2026-01-13,page_view,br.search.yahoo.com / referral,1,1,1,1,1,0,1
2026-01-13,page_view,google / organic,2,1,1,1,2,0,2
2026-01-13,scroll,(direct) / (none),14,11,11,0.9285714286,13,0.07142857143,1.272727273
2026-01-13,scroll,br.search.yahoo.com / referral,1,1,1,1,1,0,1
2026-01-13,session_start,(direct) / (none),18,14,13,0.8333333333,15,0.1666666667,1.384615385
2026-01-13,session_start,br.search.yahoo.com / referral,1,1,1,1,1,0,1
2026-01-13,session_start,business.facebook.com / referral,1,1,0,0,0,1,0
2026-01-13,session_start,google / organic,2,1,1,1,2,0,2
2026-01-13,user_engagement,(direct) / (none),9,9,9,1,9,0,1
2026-01-13,user_engagement,business.facebook.com / referral,1,1,0,0,0,1,0
